"","발생_순번","발생_일시","항목_코드","경보.단계","지역명","권역명","발령일자","발령시간","발령농도","해제일자","해제시간","해제농도"
"1",276,"2022-06-01","PM25","주의보","경남","밀양권역","2022-06-01","13:00",69,"2022-06-01","14:00",13
"2",273,"2022-06-01","PM25","경보","경남","밀양권역","2022-06-01","11:00",219,"2022-06-01","13:00",69
"3",272,"2022-06-01","PM10","주의보","경남","밀양권역","2022-06-01","11:00",271,"2022-06-01","14:00",36
"4",270,"2022-05-23","PM25","주의보","인천","강화권역","2022-05-23","12:00",82,"2022-05-23","18:00",33
"5",268,"2022-04-27","PM10","주의보","대전","서부권역","2022-04-27","22:00",159,"2022-04-28","05:00",99
"6",267,"2022-04-27","PM10","주의보","대전","동부권역","2022-04-27","22:00",177,"2022-04-28","07:00",93
"7",266,"2022-04-27","PM10","주의보","세종","세종권역","2022-04-27","21:00",160,"2022-04-28","06:00",93
"8",264,"2022-04-27","PM10","주의보","충북","중부권역","2022-04-27","21:00",172,"2022-04-28","02:00",98
"9",263,"2022-04-27","PM10","주의보","광주","광주권역","2022-04-27","21:00",165,"2022-04-28","07:00",94
"10",262,"2022-04-27","PM10","주의보","전남","서부권","2022-04-27","14:00",176,"2022-04-28","04:00",97
"11",261,"2022-04-27","PM10","주의보","강원","영동남부","2022-04-27","12:00",170,"2022-04-27","17:00",83
"12",260,"2022-04-27","PM10","주의보","대전","서부권역","2022-04-27","11:00",160,"2022-04-27","15:00",99
"13",259,"2022-04-27","PM10","주의보","전북","서부권역","2022-04-27","11:00",217,"2022-04-28","00:00",97
"14",258,"2022-04-27","PM10","주의보","전북","중부권역","2022-04-27","11:00",184,"2022-04-28","03:00",97
"15",257,"2022-04-27","PM10","주의보","충남","동남부권역","2022-04-27","11:00",185,"2022-04-28","04:00",99
"16",256,"2022-04-27","PM10","주의보","세종","세종권역","2022-04-27","11:00",160,"2022-04-27","17:00",94
"17",255,"2022-04-27","PM10","주의보","강원","영동북부","2022-04-27","11:00",201,"2022-04-27","13:00",93
"18",254,"2022-04-27","PM10","주의보","대전","동부권역","2022-04-27","10:00",174,"2022-04-27","16:00",96
"19",252,"2022-04-27","PM10","주의보","경기","남부권","2022-04-27","09:00",183,"2022-04-28","02:00",96
"20",251,"2022-04-27","PM10","주의보","경기","동부권","2022-04-27","08:00",167,"2022-04-28","00:00",96
"21",250,"2022-04-27","PM10","주의보","충남","서부권역","2022-04-27","07:00",186,"2022-04-27","21:00",97
"22",249,"2022-04-27","PM10","주의보","충남","북부권역","2022-04-27","07:00",185,"2022-04-28","02:00",92
"23",243,"2022-04-27","PM10","주의보","서울","서울권역","2022-04-27","06:00",167,"2022-04-27","23:00",89
"24",241,"2022-04-27","PM10","주의보","인천","동남부권역","2022-04-27","05:00",179,"2022-04-27","20:00",98
"25",239,"2022-04-27","PM10","주의보","인천","서부권역","2022-04-27","05:00",176,"2022-04-27","20:00",92
"26",238,"2022-04-27","PM10","주의보","경기","중부권","2022-04-27","05:00",183,"2022-04-27","22:00",95
"27",237,"2022-04-27","PM10","주의보","경기","북부권","2022-04-27","05:00",176,"2022-04-27","22:00",95
"28",236,"2022-04-27","PM10","주의보","인천","강화권역","2022-04-27","04:00",203,"2022-04-27","20:00",90
"29",235,"2022-04-27","PM10","주의보","인천","영종·영흥권역","2022-04-27","04:00",182,"2022-04-27","19:00",97
"30",234,"2022-04-26","PM25","주의보","인천","동남부권역","2022-04-26","01:00",80,"2022-04-26","04:00",22
"31",233,"2022-04-26","PM25","주의보","인천","영종·영흥권역","2022-04-26","01:00",82,"2022-04-26","04:00",23
"32",232,"2022-04-11","PM25","주의보","강원","영서북부","2022-04-11","11:00",137,"2022-04-11","14:00",16
"33",231,"2022-03-16","PM10","주의보","충북","남부권역","2022-03-16","19:00",170,"2022-03-17","06:00",98
"34",230,"2022-03-12","PM25","주의보","충북","중부권역","2022-03-12","11:00",79,"2022-03-12","14:00",32
"35",229,"2022-03-12","PM25","주의보","경기","중부권","2022-03-12","10:00",77,"2022-03-12","17:00",30
"36",228,"2022-03-12","PM25","주의보","인천","영종·영흥권역","2022-03-12","09:00",81,"2022-03-12","17:00",21
"37",227,"2022-03-12","PM25","주의보","경기","남부권","2022-03-12","09:00",86,"2022-03-12","17:00",28
"38",226,"2022-03-12","PM25","주의보","충남","북부권역","2022-03-12","02:00",76,"2022-03-12","15:00",30
"39",225,"2022-03-10","PM25","주의보","인천","강화권역","2022-03-10","11:00",80,"2022-03-10","14:00",16
"40",224,"2022-03-10","PM25","주의보","인천","영종·영흥권역","2022-03-10","09:00",83,"2022-03-10","15:00",33
"41",223,"2022-03-10","PM25","주의보","경기","남부권","2022-03-10","09:00",80,"2022-03-10","14:00",31
"42",222,"2022-03-09","PM25","주의보","충남","북부권역","2022-03-10","00:00",78,"2022-03-10","15:00",31
"43",221,"2022-03-07","PM25","주의보","강원","영동남부","2022-03-07","13:00",117,"2022-03-08","06:00",19
"44",220,"2022-03-07","PM10","주의보","강원","영동남부","2022-03-07","13:00",162,"2022-03-07","15:00",96
"45",219,"2022-03-06","PM25","주의보","강원","영동남부","2022-03-06","01:00",75,"2022-03-06","04:00",7
"46",218,"2022-03-05","PM10","주의보","강원","영동북부","2022-03-05","11:00",151,"2022-03-05","14:00",75
"47",217,"2022-03-05","PM10","주의보","세종","세종권역","2022-03-05","04:00",170,"2022-03-05","13:00",89
"48",216,"2022-03-05","PM10","주의보","부산","중부권역","2022-03-05","10:00",163,"2022-03-05","14:00",78
"49",215,"2022-03-05","PM10","주의보","부산","남부권역","2022-03-05","10:00",164,"2022-03-05","14:00",79
"50",214,"2022-03-05","PM10","주의보","부산","서부권역","2022-03-05","10:00",163,"2022-03-05","13:00",99
"51",213,"2022-03-05","PM10","주의보","강원","영서남부","2022-03-05","10:00",200,"2022-03-05","14:00",88
"52",212,"2022-03-05","PM10","주의보","제주","제주권역","2022-03-05","09:00",187,"2022-03-05","15:00",92
"53",209,"2022-03-05","PM10","주의보","부산","동부권역","2022-03-05","09:00",203,"2022-03-05","14:00",78
"54",208,"2022-03-05","PM10","주의보","경남","양산권역","2022-03-05","09:00",152,"2022-03-05","12:00",95
"55",207,"2022-03-05","PM10","주의보","경남","김해권역","2022-03-05","09:00",153,"2022-03-05","12:00",88
"56",206,"2022-03-05","PM10","주의보","강원","영서북부","2022-03-05","09:00",202,"2022-03-05","12:00",88
"57",204,"2022-03-05","PM10","주의보","경남","통영권역","2022-03-05","08:00",235,"2022-03-05","12:00",94
"58",203,"2022-03-05","PM10","주의보","경남","하동권역","2022-03-05","08:00",164,"2022-03-05","12:00",90
"59",202,"2022-03-05","PM10","주의보","경남","거제권역","2022-03-05","08:00",196,"2022-03-05","13:00",88
"60",201,"2022-03-05","PM10","주의보","경남","사천권역","2022-03-05","08:00",183,"2022-03-05","12:00",89
"61",200,"2022-03-05","PM10","주의보","서울","서울권역","2022-03-05","08:00",247,"2022-03-05","12:00",86
"62",199,"2022-03-05","PM10","주의보","대전","서부권역","2022-03-05","05:00",178,"2022-03-05","14:00",85
